subs_id;prob
c5b51ef88277daaf829f85316454c9d35b011e8d171408d87310f141fd59ad72;0,5
1a070d1b68f9690c381f5f28bb6c42b67f06ac4c30d1254371b0633ee42bcfd1;0,5
6e676752f34692c8d55cd35163f31eb7b1a049565f4b2f3aeb4fbaf66fd87fb3;0,5
2ecd8195c42ebfc08ce8ec67a9052fd88aa27d62b913eadc8a29d75557046923;0,5
1ca3fc1afbea9b723aae80bd17dcca5627ae9bec6dcf07a77ea0e3ec75bf033e;0,5
529f657c3da121b0484d2de910b70aee24d9e37ab87db8022453308d7dc29bd2;0,5
06f809879747a3fb17dea05effec38544964ca1cc729d42283d86d0ef2d94d58;0,5
a3f1aa763611a6c15fdc086e6e38c2df2d8919d448b0fef2dfc0c1cceeeba68e;0,5
59fe9b1720297b9861729561f0c9d4e3a2513a2950f282afc2c7ed80badebf2f;0,5
0df96b9ffcf3c6779c2bebf91f90afb1ef437d767045a9cc797083151430d5d3;0,5
11606e5a6a7118e4d8c4995f6dd65302547db39a3cdf99e6dfb7ef9cd7984c24;0,5
5d92931438d745e364a7c025f9a3764a275ee18cdc666a273516b871873118b3;0,5
3390ae66a9584353e0c6d25961411a4ba53bad2a960cbfbf50873a20ed9d0762;0,5
8c54bd6768f9299a1bcef0553056339fdab1ddc588549a5ab230c56cd82748ae;0,5
bfddae31d5d5ca10e9c2c2fd90c07ede1e39b2181f09c98a49f54eff51307458;0,5
229ee3e102061ca8df2046591b520268afa541699b2b9f658c6e350ac36beebd;0,5
2e0e45dced45063389b94821d2ca8e0e73bb10b22d6ceef20163c563272b10c4;0,5
dec0fe42dbb886371ab572089060f6a0f8d56f8175b4b4bf8834bfd8a0404761;0,5
4e28b1980e90022524a6be240fd2f0d5dafe0dca22d4461a0f1ee662f7c4a4fb;0,5
cf5591953fff9f9a600c43ea07bcd143fbaefc09373b20223a35cc33d86054b3;0,5
7d89fde3434d4cf45f50255b98cc620b3377fbdb0436eaae99046f231eff97cb;0,5
